"Gene_Order"	"Gene_EntrezID"	"N_HitLists"	"DE_Prior_Rank"	"Gene_Name"
"283"	6863	36	0.985317129146672	"TAC1"
"284"	1380	24	0.985212810348425	"CR2"
"285"	857	81	0.985212810348425	"CAV1"
"286"	3240	36	0.985134571249739	"HP"
"287"	9201	72	0.985082411850616	"DCLK1"
"288"	316	61	0.985030252451492	"AOX1"
"289"	2633	72	0.984952013352806	"GBP1"
"290"	1088	27	0.984952013352806	"CEACAM8"
"291"	4023	53	0.984847694554559	"LPL"
"292"	153	56	0.984847694554559	"ADRB1"
"293"	3202	47	0.984769455455873	"HOXA5"
"294"	29126	52	0.984717296056749	"CD274"
"295"	4609	45	0.984665136657626	"MYC"
"296"	891	69	0.984612977258502	"CCNB1"
"297"	983	72	0.984560817859378	"CDK1"
"298"	7298	57	0.984482578760693	"TYMS"
"299"	230	29	0.984482578760693	"ALDOC"
"300"	5266	50	0.984404339662007	"PI3"
"301"	5168	71	0.984326100563321	"ENPP2"
"302"	5054	60	0.984326100563321	"SERPINE1"
"303"	79682	62	0.984221781765074	"CENPU"
"304"	5999	69	0.984221781765074	"RGS4"
"305"	387914	67	0.984117462966827	"SHISA2"
"306"	94240	56	0.984117462966827	"EPSTI1"
"307"	5179	32	0.984039223868141	"PENK"
"308"	9787	67	0.983987064469017	"DLGAP5"
"309"	4938	48	0.983934905069894	"OAS1"
"310"	10112	55	0.98388274567077	"KIF20A"
"311"	474344	44	0.983830586271646	"GIMAP6"
"312"	114569	61	0.983752347172961	"MAL2"
"313"	84002	59	0.983752347172961	"B3GNT5"
"314"	29128	62	0.983674108074275	"UHRF1"
"315"	9452	75	0.983595868975589	"ITM2A"
"316"	6286	69	0.983595868975589	"S100P"
"317"	6690	38	0.98346547047778	"SPINK1"
"318"	3557	61	0.98346547047778	"IL1RN"
"319"	991	58	0.98346547047778	"CDC20"
"320"	8038	63	0.983361151679533	"ADAM12"
"321"	2537	42	0.983308992280409	"IFI6"
"322"	5327	71	0.983230753181723	"PLAT"
"323"	4753	56	0.983230753181723	"NELL2"
"324"	7045	71	0.983152514083038	"TGFBI"
"325"	7018	43	0.983100354683914	"TF"
"326"	634	55	0.98304819528479	"CEACAM1"
"327"	9935	67	0.982969956186105	"MAFB"
"328"	7124	31	0.982969956186105	"TNF"
"329"	28984	65	0.982891717087419	"RGCC"
"330"	3303	39	0.982839557688295	"HSPA1A"
"331"	6447	66	0.98276131858961	"SCG5"
"332"	216	62	0.98276131858961	"ALDH1A1"
"333"	762	50	0.982683079490924	"CA4"
"334"	710	57	0.982630920091801	"SERPING1"
"335"	84870	43	0.982578760692677	"RSPO3"
"336"	55165	72	0.982500521593991	"CEP55"
"337"	5079	42	0.982500521593991	"PAX5"
"338"	8436	66	0.982422282495306	"SDPR"
"339"	1906	54	0.982370123096182	"EDN1"
"340"	4886	59	0.982317963697058	"NPY1R"
"341"	57162	50	0.982265804297935	"PELI1"
"342"	9134	56	0.982161485499687	"CCNE2"
"343"	3953	59	0.982161485499687	"LEPR"
"344"	1326	44	0.982161485499687	"MAP3K8"
"345"	283209	43	0.98205716670144	"PGM2L1"
"346"	57619	38	0.981978927602754	"SHROOM3"
"347"	2697	69	0.981978927602754	"GJA1"
"348"	22822	70	0.981900688504068	"PHLDA1"
"349"	11130	58	0.981822449405383	"ZWINT"
"350"	6678	83	0.981822449405383	"SPARC"
"351"	10170	53	0.981718130607135	"DHRS9"
"352"	3815	43	0.981718130607135	"KIT"
"353"	1311	41	0.98163989150845	"COMP"
"354"	286133	55	0.981587732109326	"SCARA5"
"355"	1284	65	0.981535572710202	"COL4A2"
"356"	56937	66	0.981483413311079	"PMEPA1"
"357"	2289	53	0.981431253911955	"FKBP5"
"358"	8788	40	0.981379094512831	"DLK1"
"359"	360	64	0.981326935113707	"AQP3"
"360"	84624	46	0.981274775714584	"FNDC1"
"361"	83729	37	0.98122261631546	"INHBE"
"362"	1009	67	0.981170456916336	"CDH11"
"363"	4751	55	0.981118297517213	"NEK2"
"364"	57007	69	0.981040058418527	"ACKR3"
"365"	7552	69	0.981040058418527	"ZNF711"
"366"	8406	74	0.980961819319841	"SRPX"
"367"	4599	43	0.980909659920718	"MX1"
"368"	9687	39	0.980857500521594	"GREB1"
"369"	1282	66	0.98080534112247	"COL4A1"
"370"	80031	64	0.980753181723347	"SEMA6D"
"371"	51176	74	0.980674942624661	"LEF1"
"372"	11197	49	0.980674942624661	"WIF1"
"373"	6876	73	0.980596703525975	"TAGLN"
"374"	64092	54	0.980544544126852	"SAMSN1"
"375"	9388	56	0.980466305028166	"LIPG"
"376"	213	26	0.980466305028166	"ALB"
"377"	10512	65	0.980361986229919	"SEMA3C"
"378"	4317	31	0.980361986229919	"MMP8"
"379"	5332	57	0.980283747131233	"PLCB4"
"380"	2151	49	0.980231587732109	"F2RL2"
"381"	3598	41	0.980153348633424	"IL13RA2"
"382"	1236	46	0.980153348633424	"CCR7"
"383"	5366	71	0.980075109534738	"PMAIP1"
"384"	4897	52	0.980022950135614	"NRCAM"
"385"	387758	48	0.979892551637805	"FIBIN"
"386"	84525	68	0.979892551637805	"HOPX"
"387"	22797	49	0.979892551637805	"TFEC"
"388"	3899	64	0.979892551637805	"AFF3"
"389"	256764	62	0.979709993740872	"WDR72"
"390"	5734	69	0.979709993740872	"PTGER4"
"391"	4792	30	0.979709993740872	"NFKBIA"
"392"	9315	55	0.979605674942625	"NREP"
"393"	83540	59	0.979527435843939	"NUF2"
"394"	10578	40	0.979527435843939	"GNLY"
"395"	3122	64	0.979423117045692	"HLA-DRA"
"396"	1368	48	0.979423117045692	"CPM"
"397"	7031	35	0.979344877947006	"TFF1"
"398"	629	57	0.979292718547882	"CFB"
"399"	929	59	0.979240559148759	"CD14"
"400"	1831	40	0.979188399749635	"TSC22D3"
"401"	9636	48	0.979136240350511	"ISG15"
"402"	7123	56	0.979084080951387	"CLEC3B"
"403"	9834	23	0.979031921552264	"FAM30A"
"404"	3206	45	0.97897976215314	"HOXA10"
"405"	1910	63	0.978927602754016	"EDNRB"
"406"	10769	47	0.978875443354893	"PLK2"
"407"	3113	66	0.978823283955769	"HLA-DPA1"
"408"	57561	32	0.978771124556645	"ARRDC3"
"409"	8638	44	0.978718965157521	"OASL"
"410"	3977	68	0.978666805758398	"LIFR"
"411"	2192	56	0.978614646359274	"FBLN1"
"412"	1634	60	0.97856248696015	"DCN"
"413"	25840	69	0.978510327561027	"METTL7A"
"414"	3280	51	0.978458168161903	"HES1"
"415"	11254	42	0.978406008762779	"SLC6A14"
"416"	932	23	0.978353849363655	"MS4A3"
"417"	28959	40	0.978301689964532	"TMEM176B"
"418"	11067	52	0.978249530565408	"C10orf10"
"419"	6590	59	0.978197371166284	"SLPI"
"420"	4239	60	0.978093052368037	"MFAP4"
"421"	4208	70	0.978093052368037	"MEF2C"
"422"	131	17	0.978093052368037	"ADH7"
